pop_label,network_code,N,seed,dominant_group,cost_norm_mean,cost_norm_day29,adjustment_mean
Tipping,500b,500,1,Habit-driven,8.810031875242014,8.591941689846808,0.899674661928932
Tipping,500b,500,1,Price-responsive,8.053737607304218,7.115705493165544,3.1390942105134996
Tipping,500b,500,1,Social-influenced,8.801709673193173,8.597333513453737,1.0031573399061673
Tipping,500b,500,2,Habit-driven,8.790346279707453,8.681043449340104,0.8966821453606976
Tipping,500b,500,2,Price-responsive,7.938691657534537,7.4872830428772215,3.2819403145723087
Tipping,500b,500,2,Social-influenced,8.786926718706528,8.575818970050902,1.014387927163254
Tipping,500b,500,3,Habit-driven,8.785033676018458,8.508235601880196,0.9210011619139346
Tipping,500b,500,3,Price-responsive,7.915367498904725,7.101315460827868,3.2970579940424436
Tipping,500b,500,3,Social-influenced,8.760489439271455,8.62361793863576,1.0468324284791732
Tipping,500b,500,4,Habit-driven,8.70614375132962,8.504448706061543,0.9387143865018513
Tipping,500b,500,4,Price-responsive,7.901620677260921,6.920482736596088,3.3123179728686267
Tipping,500b,500,4,Social-influenced,8.70012795556604,8.52447427337541,1.0867665513838027
Tipping,500b,500,5,Habit-driven,8.797766750462717,8.623441504014007,0.9367181128523855
Tipping,500b,500,5,Price-responsive,8.002608163082988,7.423447179560412,3.219478515423319
Tipping,500b,500,5,Social-influenced,8.845407982765149,8.637505203746953,1.017885796829292
Tipping,500b,500,6,Habit-driven,8.772866532659473,8.600072784591376,0.9009370080705026
Tipping,500b,500,6,Price-responsive,7.913641339833606,7.176330725112502,3.3062800946285416
Tipping,500b,500,6,Social-influenced,8.772563147812296,8.578424618292022,1.0545380917243332
Tipping,500b,500,7,Habit-driven,8.772421129291166,8.618494250925016,0.8811782493843416
Tipping,500b,500,7,Price-responsive,7.945290604717394,7.0821829746505855,3.4134396605952846
Tipping,500b,500,7,Social-influenced,8.744808488044624,8.418519727471384,1.026581425337789
Tipping,500b,500,8,Habit-driven,8.77787055774096,8.67582225811943,0.9466870733422448
Tipping,500b,500,8,Price-responsive,7.925920192667442,7.216547929604689,3.4099826725345683
Tipping,500b,500,8,Social-influenced,8.744026662836971,8.67742561540389,1.0675269052900815
Tipping,500b,500,9,Habit-driven,8.757438152186772,8.629970442379156,0.9225786617765246
Tipping,500b,500,9,Price-responsive,7.894867798491954,7.101159377492764,3.2381863595643545
Tipping,500b,500,9,Social-influenced,8.732040559131637,8.719278807068653,1.0626436847140297
Tipping,500b,500,10,Habit-driven,8.810695531294563,8.649474533577228,0.9155941735737575
Tipping,500b,500,10,Price-responsive,7.959144661649134,7.239068068725223,3.422495622798146
Tipping,500b,500,10,Social-influenced,8.830921016766261,8.83858365177208,1.052778552254888
Tipping,500c,500,1,Habit-driven,8.806187299666924,8.551920447215933,0.8962249339968763
Tipping,500c,500,1,Price-responsive,8.060728464218437,7.18980393045187,3.129477963112714
Tipping,500c,500,1,Social-influenced,8.799961250282637,8.628960785819226,1.0087899417599127
Tipping,500c,500,2,Habit-driven,8.79254080383069,8.720119464212443,0.8936306778568094
Tipping,500c,500,2,Price-responsive,7.931004833108449,7.488794520578483,3.267235549880815
Tipping,500c,500,2,Social-influenced,8.78314431507857,8.693239659823103,0.9879592518362261
Tipping,500c,500,3,Habit-driven,8.792305456105725,8.596038828734024,0.9212234097194617
Tipping,500c,500,3,Price-responsive,7.938249676297642,7.1594924108272595,3.291917181515447
Tipping,500c,500,3,Social-influenced,8.758077349593492,8.702315878912238,1.0590961565595893
Tipping,500c,500,4,Habit-driven,8.69378128840967,8.609339960843151,0.9355903994933005
Tipping,500c,500,4,Price-responsive,7.900199137370529,7.055182979523523,3.2987069090643333
Tipping,500c,500,4,Social-influenced,8.689669268917473,8.527908032634105,1.0551263337820118
